complex	gene_id	gene_name	class	family 
complex I	ENSG00000198888	ND1	core subunit	mtDNA encoded
complex I	ENSG00000198763	ND2	core subunit	mtDNA encoded
complex I	ENSG00000198840	ND3	core subunit	mtDNA encoded
complex I	ENSG00000198886	ND4	core subunit	mtDNA encoded
complex I	ENSG00000212907	ND4L	core subunit	mtDNA encoded
complex I	ENSG00000198786	ND5	core subunit	mtDNA encoded
complex I	ENSG00000198695	ND6	core subunit	mtDNA encoded
complex I	ENSG00000023228	NDUFS1	core subunit	NADH dehydrogenase (ubiquinone) Fe-S protein
complex I	ENSG00000158864	NDUFS2	core subunit	NADH dehydrogenase (ubiquinone) Fe-S protein
complex I	ENSG00000213619	NDUFS3	core subunit	NADH dehydrogenase (ubiquinone) Fe-S protein
complex I	ENSG00000115286	NDUFS7	core subunit	NADH dehydrogenase (ubiquinone) Fe-S protein
complex I	ENSG00000110717	NDUFS8	core subunit	NADH dehydrogenase (ubiquinone) Fe-S protein
complex I	ENSG00000167792	NDUFV1	core subunit	NADH dehydrogenase (ubiquinone) flavoprotein 1
complex I	ENSG00000178127	NDUFV2	core subunit	NADH dehydrogenase (ubiquinone) flavoprotein 2
complex I	ENSG00000125356	NDUFA1	accessory subunit	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex I	ENSG00000130414	NDUFA10	accessory subunit	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex I	ENSG00000174886	NDUFA11	accessory subunit	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex I	ENSG00000184752	NDUFA12	accessory subunit	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex I	ENSG00000186010	NDUFA13	accessory subunit	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex I	ENSG00000131495	NDUFA2	accessory subunit	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex I	ENSG00000170906	NDUFA3	accessory subunit	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex I	ENSG00000128609	NDUFA5	accessory subunit	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex I	ENSG00000184983	NDUFA6	accessory subunit	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex I	ENSG00000167774	NDUFA7	accessory subunit	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex I	ENSG00000119421	NDUFA8	accessory subunit	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex I	ENSG00000139180	NDUFA9	accessory subunit	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex I	ENSG00000004779	NDUFAB1	accessory subunit	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex I	ENSG00000183648	NDUFB1	accessory subunit	NADH dehydrogenase (ubiquinone) 1 beta subcomplex
complex I	ENSG00000140990	NDUFB10	accessory subunit	NADH dehydrogenase (ubiquinone) 1 beta subcomplex
complex I	ENSG00000147123	NDUFB11	accessory subunit	NADH dehydrogenase (ubiquinone) 1 beta subcomplex
complex I	ENSG00000090266	NDUFB2	accessory subunit	NADH dehydrogenase (ubiquinone) 1 beta subcomplex
complex I	ENSG00000119013	NDUFB3	accessory subunit	NADH dehydrogenase (ubiquinone) 1 beta subcomplex
complex I	ENSG00000065518	NDUFB4	accessory subunit	NADH dehydrogenase (ubiquinone) 1 beta subcomplex
complex I	ENSG00000136521	NDUFB5	accessory subunit	NADH dehydrogenase (ubiquinone) 1 beta subcomplex
complex I	ENSG00000165264	NDUFB6	accessory subunit	NADH dehydrogenase (ubiquinone) 1 beta subcomplex
complex I	ENSG00000099795	NDUFB7	accessory subunit	NADH dehydrogenase (ubiquinone) 1 beta subcomplex
complex I	ENSG00000166136	NDUFB8	accessory subunit	NADH dehydrogenase (ubiquinone) 1 beta subcomplex
complex I	ENSG00000147684	NDUFB9	accessory subunit	NADH dehydrogenase (ubiquinone) 1 beta subcomplex
complex I	ENSG00000109390	NDUFC1	accessory subunit	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown
complex I	ENSG00000151366	NDUFC2	accessory subunit	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown
complex I	ENSG00000164258	NDUFS4	accessory subunit	NADH dehydrogenase (ubiquinone) Fe-S protein
complex I	ENSG00000168653	NDUFS5	accessory subunit	NADH dehydrogenase (ubiquinone) Fe-S protein
complex I	ENSG00000145494	NDUFS6	accessory subunit	NADH dehydrogenase (ubiquinone) Fe-S protein
complex I	ENSG00000160194	NDUFV3	accessory subunit	NADH dehydrogenase (ubiquinone) flavoprotein 3
complex I	ENSG00000137806	NDUFAF1	assembly factor	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex I	ENSG00000164182	NDUFAF2	assembly factor	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex I	ENSG00000178057	NDUFAF3	assembly factor	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex I	ENSG00000123545	NDUFAF4	assembly factor	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
complex II	ENSG00000073578	SDHA	subunit	
complex II	ENSG00000117118	SDHB	subunit	
complex II	ENSG00000143252	SDHC	subunit	
complex II	ENSG00000204370	SDHD	subunit	
complex II	ENSG00000205138	SDHAF1	assembly factor	
complex II	ENSG00000167985	SDHAF2	assembly factor	
complex III	ENSG00000198727	MT-CYB	subunit	mtDNA encoded
complex III	ENSG00000156467	UQCRB	subunit	
complex III	ENSG00000010256	UQCRC1	subunit	
complex III	ENSG00000140740	UQCRC2	subunit	
complex III	ENSG00000173660	UQCRH	subunit	
complex III	ENSG00000164405	UQCRQ	subunit	
complex III	ENSG00000184076	UQCR10	subunit	
complex III	ENSG00000127540	UQCR11	subunit	
complex III	ENSG00000169021	UQCRFS1	subunit	
complex III	ENSG00000101019	UQCC1	assembly factor	
complex III	ENSG00000137288	UQCC2	assembly factor	
complex III	ENSG00000011295	TTC19	assembly factor	
complex IV	ENSG00000198804	MT-CO1	subunit	mtDNA encoded
complex IV	ENSG00000198712	MT-CO2	subunit	mtDNA encoded
complex IV	ENSG00000198938	MT-CO3	subunit	mtDNA encoded
complex IV	ENSG00000131143	COX4I1	subunit	
